Contract_One year,Contract_Two year,Dependents_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,InternetService_Fiber optic,InternetService_No,MonthlyCharges,MultipleLines_No phone service,MultipleLines_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,OnlineSecurity_No internet service,OnlineSecurity_Yes,PaperlessBilling_Yes,Partner_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,PhoneService_Yes,SeniorCitizen,StreamingMovies_No internet service,StreamingMovies_Yes,StreamingTV_No internet service,StreamingTV_Yes,TechSupport_No internet service,TechSupport_Yes,TotalCharges,gender_Male,tenure,churn,customerID
0,0,0,0,0,1,0,1.1983775439944904,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,-0.6457883465344834,1,-0.9950403079957154,1,6326-MTTXK
0,0,1,0,0,0,0,-0.48192686833740767,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,-0.9115817348841647,0,-1.1580161531009565,0,5071-FBJFS
0,0,1,0,1,1,0,0.5152864327497723,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1.1528447111864584,1,1.24587756220135,0,2796-UUZZO
0,1,0,1,0,0,1,-1.494098368940895,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,-0.37465658985708816,1,1.6125732136881425,0,2429-AYKKO
0,1,0,1,0,0,1,-1.4525478147289292,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,-0.593926760011942,0,0.5532302205040753,0,9798-OPFEM
0,0,0,0,0,1,0,0.17124784387469535,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,-0.8617054919545747,0,-1.1172721918246462,1,0330-IVZHA
0,0,0,0,1,0,0,-0.4918990013482794,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,-0.3566561412809955,1,-0.09867315991688919,0,3794-NFNCH
0,1,0,0,1,1,0,1.328015273135824,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1.8764583320707309,1,1.24587756220135,0,5193-QLVZB
0,1,0,1,0,0,1,-1.494098368940895,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,-0.5096599541777829,0,1.1236456783724194,0,7114-AEOZE
1,0,0,0,1,1,0,1.419426492402149,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,2.0252488046758104,0,1.24587756220135,1,2886-KEFUM
0,0,1,0,0,1,0,0.7014329156193795,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,-0.03717023842860637,1,-0.3023929662984406,0,5522-NYKPB
0,0,0,0,0,0,0,-0.6298468413320059,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,-0.9871350882825928,1,-1.2802480369298874,1,4237-RLAQD
0,0,0,0,1,1,0,0.5319066544345585,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,-0.8056967432600906,1,-1.076528230548336,0,9957-YODKZ
0,1,0,1,0,0,1,-1.3145999747452028,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,-0.7574308345781167,1,-0.42462485012737144,0,6518-KZXCB
0,1,1,0,0,0,0,0.5235965435921655,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0.08307540518448285,0,-0.05792919864057891,0,2245-ADZFJ
0,0,1,0,1,1,0,0.5551749647932596,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0.36353827674874967,0,0.2680224915699033,0,7776-QGYJC
0,0,0,1,0,0,1,-1.4591959034028439,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,-0.7786960703959516,1,-0.26164900502213034,0,9313-QOLTZ
1,0,0,0,1,1,0,1.3728898716847469,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1.5381778432050683,0,0.8384379494382472,1,9651-GTSAQ
0,0,0,0,0,1,0,0.8942274871629008,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,-0.9669066430077436,0,-1.2802480369298874,1,3186-BAXNB
0,0,0,0,0,0,0,0.08149864677684908,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,-0.6401632063544543,1,-0.8320644628904743,0,4672-FOTSD
0,0,0,0,1,1,0,1.0238652163042339,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,-0.3210302534741455,0,-0.6690886177852331,1,0637-YLETY
0,0,0,1,0,0,1,-1.477478147256109,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,-0.9873777413883978,0,-1.2395040756535771,0,9818-XQCUV
1,0,1,0,0,0,0,-0.6564391960276642,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.21737325854882789,1,0.2680224915699033,0,7338-ERIVA
0,0,0,0,0,1,0,0.3374500607225587,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,-0.9742965330481738,1,-1.2802480369298874,1,1157-BQCUW
0,0,1,0,0,0,0,-1.0021398070712197,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,-0.8985667046637056,0,-1.0357842692720256,0,8259-NFJTV
0,0,0,0,0,1,0,0.15130357785295148,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,-0.8919268333139458,1,-1.1580161531009565,0,3223-DWFIO
0,0,0,0,0,1,0,1.0155551054618408,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,-0.611022774284579,1,-0.9135523854430948,1,2660-EMUBI
0,0,0,0,1,1,0,0.5568369869617381,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.9821713403124035,0,0.9199258719908678,0,6968-GMKPR
0,1,1,0,1,0,0,0.35240826023886646,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1.4104540720585288,1,1.6125732136881425,0,4751-ERMAN
0,0,0,0,1,0,0,0.09978089063011394,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,-0.7192019407271748,0,-0.9135523854430948,0,1436-ZMJAN
0,0,0,0,1,1,0,1.5490642215434824,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,-0.48541670297052086,1,-0.8728084241667845,0,3292-PBZEJ
0,0,1,0,0,0,0,-0.6148886418156984,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,-0.725246208999049,0,-0.7098325790615434,0,0799-DDIHE
0,1,1,1,0,0,1,-1.4758161250876303,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,-0.7961450346406688,0,-0.38388088885106114,0,3070-FNFZQ
0,0,1,1,0,0,1,-1.4874502802669807,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,-0.9985177248821806,1,-1.2802480369298874,0,2812-SFXMJ
0,0,0,0,0,0,0,-0.6581012181961428,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,-0.9512886067431926,0,-1.1987601143772668,1,7675-OZCZG
1,0,1,0,1,1,0,1.0404854379890203,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0.9300891600573119,1,0.5939741817803856,0,5014-WUQMG
1,0,1,1,0,0,1,-1.5007464576148097,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,-0.8879782055012982,0,-0.7098325790615434,0,5312-TSZVC
0,0,0,0,1,1,0,1.1535029454455674,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1.9532249509981847,1,1.368109446030281,1,2003-CKLOR
1,0,0,0,1,0,0,-0.13788827946233057,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0.7467537089348784,0,1.4495973685829016,0,0993-OSGPT
1,0,1,0,1,1,0,1.123586546412952,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,-0.25516096493466933,0,-0.6283446565089229,1,9254-RBFON
0,0,0,0,0,0,0,-0.17611478933733907,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,-0.8238516074489681,0,-1.0357842692720256,1,1205-WNWPJ
0,0,0,0,0,1,0,0.5202724992552084,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,-0.5881472042191278,1,-0.8320644628904743,1,9391-EOYLI
1,0,0,0,1,0,0,0.22941861977144754,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,-0.3468838389290237,0,-0.46536881140368175,0,7108-DGVUU
0,0,0,0,0,0,0,-0.9572652085222967,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,-0.6631711326594355,1,-0.46536881140368175,0,2782-JEEBU
1,0,1,0,0,0,0,0.013355737869225209,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0.5421530219946099,0,0.9606698332671781,0,5127-BZENZ
0,0,1,0,0,0,0,-0.5268014668863306,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,-0.8868090587187824,0,-1.076528230548336,0,2720-FVBQP
0,1,0,0,1,0,0,-0.37555744955477505,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0.5446898499189367,0,1.3273654847539706,0,9906-NHHVC
1,0,0,0,0,0,0,0.5202724992552084,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0.4820412298746927,1,0.3902543753988342,0,4522-XRWWI
0,1,1,0,1,1,0,1.4709491796249863,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,2.3053146075214865,0,1.4495973685829016,0,3766-EJLFL
0,1,1,1,0,0,1,-1.2796975092071516,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,-0.4580630801343017,1,0.6347181430566958,0,5939-SXWHM
1,0,0,0,0,1,0,1.3961581820434479,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1.3520849704257578,0,0.7162060656093164,0,8152-UOBNY
0,0,0,0,1,0,0,0.005045627026832042,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,-0.7895713414106741,0,-1.0357842692720256,0,7351-KYHQH
0,1,1,1,0,0,1,-1.5107185906256815,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,-0.44976875579041586,0,1.24587756220135,0,7643-RCHXS
0,0,0,1,0,0,1,-1.4525478147289292,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,-0.8372637063880176,1,-0.6283446565089229,0,8246-SHFGA
0,0,1,0,0,1,0,0.43717139083127665,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0.4856148483420052,0,0.3902543753988342,1,8387-MOJJT
0,0,1,1,0,0,1,-1.5273388123104679,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,-0.9702155489959959,1,-1.1580161531009565,0,0620-XEFWH
0,1,1,1,0,0,1,-1.2896696422180234,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,-0.2843896344975648,0,1.2051336009250397,0,6485-QXWWE
0,0,0,0,0,1,0,0.32913994988016554,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,-0.9343911268298507,1,-1.2395040756535771,1,2761-OCIAX
0,0,0,0,0,1,0,0.18454402122252414,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,-0.9543107408791297,0,-1.2395040756535771,0,7321-VGNKU
0,1,0,0,1,1,0,1.0670777926846788,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0.9662665321955373,1,0.6347181430566958,0,5327-CNLUQ
0,1,0,1,0,0,1,-1.504070501951767,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,-0.7777033985994758,1,-0.22090504374582004,0,7552-KEYGT
0,1,1,0,1,0,0,0.5186104770867298,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1.5152802137663626,0,1.5310852911355222,0,5816-JMLGY
0,0,0,0,1,1,0,0.7978302013911399,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,-0.9681860866565344,1,-1.2802480369298874,1,3068-OMWZA
1,0,0,0,1,1,0,0.9922867951031402,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0.8952574096876426,1,0.5532302205040753,0,2927-QRRQV
0,0,0,0,0,1,0,0.8460288442770204,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0.20826234840669564,1,-0.09867315991688919,1,6032-KRXXO
0,0,0,0,0,0,0,-0.0049265059840396625,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,-0.5685805401419292,0,-0.7098325790615434,1,7459-RRWQZ
1,0,1,0,1,1,0,1.02885128280967,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1.865318348576948,1,1.4903413298592119,0,6265-SXWBU
0,1,0,1,0,0,1,-1.504070501951767,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,-0.46971042921294975,1,1.3273654847539706,0,7941-RCJOW
0,1,1,0,1,1,0,1.3064089849456015,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,2.278468350270132,1,1.6125732136881425,0,6374-NTQLP
0,0,0,0,0,1,0,0.8061403122335331,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,-0.49146097124239513,1,-0.791320501614164,1,4154-AQUGT
1,0,0,1,0,0,1,-1.485788258098502,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,-0.8840516370619054,1,-0.6283446565089229,0,2387-KDZQY
1,0,0,0,1,1,0,1.554050288048918,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1.5163831824291134,1,0.7569500268856267,0,3584-WKTTW
0,1,1,0,0,0,0,-0.1428743459677664,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0.3697810793799189,1,0.7569500268856267,0,3399-BMLVW
0,1,0,0,1,0,0,0.8692971546357213,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1.84650170319042,0,1.6125732136881425,0,1971-DTCZB
1,0,1,0,1,1,0,0.7512935806737384,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1.6039368348782697,1,1.4088534073065913,1,3092-IGHWF
0,0,0,1,0,0,1,-1.499084435446331,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,-0.7092972821356729,1,0.06430268518835193,0,3374-PZLXD
0,1,0,0,0,0,0,-0.46032058014718524,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0.5463663622863177,1,1.4088534073065913,0,3813-DHBBB
1,0,0,1,0,0,1,-1.4874502802669807,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,-0.6001033845233463,0,0.6754621043330061,0,2812-REYAT
0,1,1,1,0,0,1,-1.509056568457203,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,-0.5174910316833133,1,0.8384379494382472,0,6518-PPLMZ
0,0,0,0,1,0,0,-0.17777681150581762,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,-0.2963237554285282,1,-0.22090504374582004,0,4939-KYYPY
0,0,0,0,0,1,0,0.9956108394400973,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0.0045440363966277675,0,-0.38388088885106114,1,8017-LXHFA
0,1,0,0,1,0,0,0.5551749647932596,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1.4426607570108514,1,1.4903413298592119,0,5930-GBIWP
0,0,1,0,0,0,0,-1.1882862899408269,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.987620394494203,0,-1.2395040756535771,0,6022-KOUQO
0,0,0,0,0,1,0,0.7197151594726443,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0.32903741697790534,0,0.10504664646466222,1,6352-TWCAU
1,0,0,0,0,0,0,0.1928541320649173,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0.41813522555491295,0,0.5532302205040753,0,2361-UPSND
0,1,0,0,0,1,0,1.0770499256955504,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1.2556855093013402,0,0.8791819107145575,0,6035-RIIOM
1,0,0,0,0,1,0,1.1119523912336016,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1.4228514398278478,0,0.9606698332671781,1,2929-QNSRW
0,0,0,0,1,1,0,0.36404241541821675,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,-0.7179886751981489,0,-0.9542963467194051,1,1262-OPMFY
0,0,0,0,0,0,0,-0.18608692234821078,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.4818210251299533,1,-0.506112772679992,0,9504-DSHWM
0,0,0,0,0,1,0,0.3690284819236528,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,-0.6251187137945338,1,-0.8728084241667845,0,5035-BVCXS
0,0,0,0,0,1,0,0.8393807556031058,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0.15172417475409095,0,-0.09867315991688919,0,6267-DCFFZ
0,1,0,0,1,0,0,0.20448828724426804,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1.0845047728424202,1,1.4495973685829016,0,3533-UVMOM
0,0,0,0,1,1,0,1.2565483198912426,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0.7614452515227186,1,0.22727853029359305,0,2439-LYPMQ
0,0,0,0,1,1,0,0.6831506717661141,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,-0.36170773775639403,0,-0.6283446565089229,1,4248-QPAVC
1,0,0,0,1,1,0,1.3728898716847469,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1.235104114054411,1,0.6347181430566958,1,1899-VXWXM
0,0,0,0,0,0,0,-0.69798975023963,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-0.9880395225860482,0,-1.2802480369298874,0,1478-VPOAD
0,1,1,0,1,0,0,-0.1927350110221254,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0.6283831120484653,1,1.24587756220135,0,9995-HOTOH
1,0,0,0,1,0,0,0.17124784387469535,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,-0.9101037568760788,0,-1.1987601143772668,0,2988-PLAHS
1,0,0,1,0,0,1,-1.344516373777818,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,-0.5071893043732211,0,0.6347181430566958,0,1371-OJCEK
1,0,0,0,0,0,0,-1.1749901125929976,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.13242261214376322,1,1.368109446030281,0,4999-IEZLT
0,1,1,0,1,1,0,0.6515722505650204,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1.5280305315077614,0,1.4495973685829016,0,8883-ANODQ
0,0,0,0,0,0,0,-0.6564391960276642,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,-0.6673844729511434,1,-0.6283446565089229,1,4690-LLKUA
1,0,1,1,0,0,1,-1.4675060142452372,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,-0.9482223538607454,0,-1.0357842692720256,0,2351-RRBUE
0,1,0,0,1,0,0,0.7413214476628662,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1.741278492763996,1,1.6125732136881425,0,5980-BDHPY
0,0,0,1,0,0,1,-1.494098368940895,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,-0.7545410566817096,0,-0.13941712119319946,0,1498-DQNRX
0,0,0,0,1,1,0,0.8493528886139774,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0.5011887658600462,1,0.18653456901728277,0,9469-WEJBT
0,0,0,0,1,1,0,1.4958795121521657,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0.5752862006236431,0,0.06430268518835193,1,3331-HQDTW
0,0,0,0,0,1,0,0.6598823614074136,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0.5550356959755388,0,0.3902543753988342,1,9490-DFPMD
1,0,1,0,0,0,0,0.023327870880096913,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0.6697223775283644,0,1.082901717096109,0,2581-VKIRT
0,0,1,0,0,1,0,0.4886940780541142,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,-0.6241922201178232,1,-0.8728084241667845,1,5442-XSDCW
0,0,1,0,0,1,0,0.5368927209399946,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1.1364104781114719,1,1.1236456783724194,0,7426-WEIJX
0,0,0,0,0,0,0,-0.28747027462540753,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,-0.37234035566531154,0,-0.22090504374582004,0,2851-MMUTZ
0,0,0,0,0,1,0,0.6981088712824219,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,-0.9695096490518352,0,-1.2802480369298874,1,3049-NDXFL
0,0,0,0,0,1,0,0.47539790070628496,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,-0.9724656050680075,1,-1.2802480369298874,1,8580-AECUZ
0,0,0,0,1,0,0,-1.010449917913613,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.7458496636192334,1,-0.6283446565089229,0,3307-TLCUD
0,1,0,1,0,0,1,-1.4641819699082799,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,-0.4841372593217299,1,1.0421577558197987,0,6625-FLENO
1,0,1,1,0,0,1,-1.5290008344789465,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,-0.999069209213556,1,-1.2802480369298874,0,2967-MXRAV
0,0,1,0,0,0,0,-0.6813695285548437,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,-0.9480238195014503,0,-1.1987601143772668,1,7963-GQRMY
0,0,0,0,1,1,0,0.8643110881302852,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1.1638082196942008,0,0.8384379494382472,0,8189-HBVRW
0,0,0,1,0,0,1,-1.3029658195658524,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,-0.609743330635788,1,0.10504664646466222,0,4163-KIUHY
0,0,1,0,1,1,0,1.3679038051793113,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1.349371667515391,1,0.7162060656093164,1,1228-FZFRV
0,1,1,0,0,0,0,0.19950222073883195,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1.1367854874568069,1,1.4495973685829016,0,3500-NSDOA
0,0,0,1,0,0,1,-1.3096139082397669,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,-0.5047627733151694,1,0.5939741817803856,0,1171-TYKUR
0,0,0,0,1,1,0,1.4626390687825932,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,2.1173246286422445,0,1.3273654847539706,0,3761-FLYZI
0,0,0,0,0,1,0,0.16459975520078074,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,-0.8641540823858815,1,-1.1172721918246462,1,2058-DCJBE
0,0,0,0,0,1,0,0.9922867951031402,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1.1159614391040724,1,0.7569500268856267,1,5364-XYIRR
0,0,0,0,0,1,0,1.0388234158205416,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.9336407191513695,0,0.5532302205040753,1,4829-AUOAX
0,0,0,0,0,1,0,0.40060690312474645,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,-0.7146135910901316,0,-0.9542963467194051,0,1219-NNDDO
0,1,0,1,0,0,1,-1.4808021915930663,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,-0.9303101427776728,0,-0.9950403079957154,0,8388-DMKAE
1,0,0,1,0,0,1,-1.3295581742615106,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,-0.8654335260346724,1,-0.7505765403378537,0,4403-BWPAY
0,0,0,0,1,1,0,1.6903361058641662,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1.2539428188141941,0,0.512486259227765,0,9659-QEQSY
0,0,0,0,0,1,0,0.325815905543208,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,-0.765195733963882,0,-0.9950403079957154,0,5405-ZMYXQ
0,0,1,0,1,0,0,-0.48691293484284354,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,-0.9852379821826613,1,-1.2802480369298874,1,5047-LHVLY
1,0,1,0,1,1,0,1.2748305637445079,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,2.0947578898023638,1,1.368109446030281,0,1442-OKRJE
0,1,1,0,1,0,0,0.24271479711927632,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1.2059195632380253,1,1.6125732136881425,0,4737-AQCPU
0,0,0,0,1,1,0,1.622193196956542,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1.0198708092052249,0,0.3495104141225239,1,9158-VCTQB
0,1,1,1,0,0,1,-1.3195860412506386,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,-0.7375994580218577,0,-0.38388088885106114,0,2808-CHTDM
0,0,0,0,0,1,0,0.4687498120323708,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0.04449356136146087,0,-0.13941712119319946,1,6311-UEUME
0,0,0,0,0,1,0,0.5103003662443366,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,-0.8662497228451079,0,-1.1580161531009565,0,0793-TWELN
0,1,1,1,0,0,1,-1.3096139082397669,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,-0.9397294951575644,1,-1.076528230548336,0,3283-WCWXT
1,0,0,0,1,1,0,1.3496215613260465,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,2.0966549959022953,0,1.4088534073065913,0,1060-ENTOF
0,0,1,0,0,0,0,-0.6331708856689632,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,-0.8555068080699154,1,-1.0357842692720256,0,0999-QXNSA
1,0,1,1,0,0,1,-1.3411923294408608,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,-0.3757374991465839,1,0.9606698332671781,0,5451-MHQOF
0,1,0,1,0,0,1,-1.322910085587596,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,-0.19151967309394968,0,1.6125732136881425,0,4836-WNFNO
0,1,0,0,1,0,0,0.679826627429157,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1.6764239353942505,1,1.6125732136881425,0,9225-BZLNZ
0,1,1,1,0,0,1,-1.5024084797832884,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,-0.8191309015723949,1,-0.38388088885106114,0,0354-VXMJC
